h_county_tract,average_commute_time,average_walk_distance,number_of_commuters
081051700,1547.45522388,427.596428813,402
081051800,2685.52777778,643.279329618,324
081052000,2418.25227964,517.968238841,329
081052100,1464.32251908,450.754792213,524
081052200,2162.25495751,616.549341305,353
081052400,1965.23414634,541.650531816,410
081052500,1593.68950749,458.075236028,467
081052600,2464.94674556,632.014559014,338
081052800,2094.76038339,598.244568952,313
081053000,2273.08293839,593.65499239,422
081053100,1182.52535761,404.949382822,769
081053200,2149.43520782,491.865439453,409
081053401,2328.52287582,680.861426735,459
081053500,1912.05,589.72505253,300
081053601,2528.30456853,733.830415764,394
081053800,2767.5625,785.919378718,384
081053900,1396.41891892,532.724194268,592
081054000,1468.53661465,549.125023935,833
081054200,1394.57830343,405.85412967,1226
081054500,1461.02480916,468.511112824,524
081054700,1410.6521146,399.050542532,733
081054800,1916.78242678,530.181189022,478
081054900,1109.07120419,297.919447757,955
081055100,1296.58467742,362.326458241,744
081055200,1654.80404355,454.158214372,643
081055300,1857.84900285,596.314794356,351
081055400,2001.71368421,469.640859896,475
081055500,1399.91777188,491.086565584,377
081055600,1935.14424951,642.609688415,513
081055700,1261.84053156,459.979107385,602
081055800,2275.54545455,791.818291028,396
081055900,2545.29767442,788.400648293,215
081056000,2014.86404834,651.467743746,331
081056100,3479.97087379,999.877908237,103
081056200,2432.73846154,836.419509926,390
081056400,2301.64795918,679.459569873,392
081056500,2090.2733119,747.689846576,311
081056600,2397.23411371,688.337411243,299
081056700,1412.9713877,515.88747848,699
081056800,1411.3196986,405.858442199,929
081057700,1525.33868379,441.145403226,623
081057900,2232.87068966,801.51893773,348
081058000,1997.40469208,696.249211064,682
081058100,1563.04882812,450.457636688,512
081058200,1889.22060958,645.13376852,689
081058300,1533.70567376,468.240302577,564
081058500,1333.89905363,378.96831631,634
081058700,1567.02359347,466.183794958,551
081058900,1034.21771218,279.169067382,813
081059000,2629.375,729.39068747,272
081059100,1154.21757771,440.733903794,933
081059200,3017.54934211,656.57330038,304
081059300,1115.40102828,352.385615641,778
081059400,2991.48461538,999.308057574,260
081059500,1270.44458128,385.437250619,812
081059600,3271.29909366,942.264484881,331
081059800,2422.74747475,703.675960752,396
081059900,1690.31868132,462.93874626,364
081060000,3021.84862385,741.420568736,218
081060100,1674.81980198,441.177630521,505
081060300,1900.36454849,514.172504512,299
081060600,3050.56112853,768.181508,319
081060701,3815.27368421,1513.98726315,95
081060800,2847.04892966,724.389169067,327
081061000,2769.1259542,584.837492451,262
081061200,2580.19767442,504.307289866,344
081061301,1313.37915235,496.553209121,873
081061302,3367.34375,1180.35956849,128
081061400,3125.69456067,599.663445778,239
081061601,2678.4973822,637.912015488,382
081061602,2903.53649635,787.283205913,274
081061800,2936.79150579,1118.10479522,259
081061900,1571.84749035,536.865020305,518
081062000,2954.30573248,917.563487139,314
081062100,1780.42973523,568.716125919,491
