FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
104,104,221,3,Brooklyn,022100,3022100,E,BK61,Crown Heights North,4006,5511.964693,1617936.881,0,0,0,0,0,0,0,0,0,0,0
105,105,222,3,Brooklyn,022200,3022200,E,BK88,Borough Park,4014,5742.179476,1896474.051,0,0,0,0,0,0,0,0,0,0,0
106,106,227,3,Brooklyn,022700,3022700,E,BK69,Clinton Hill,4004,6861.719709,2588318.216,0,0,0,0,0,0,0,0,0,0,0
107,107,229,3,Brooklyn,022900,3022900,E,BK69,Clinton Hill,4004,5440.76449,1849568.404,0,0,0,0,0,0,0,0,0,0,0
108,108,231,3,Brooklyn,023100,3023100,I,BK69,Clinton Hill,4004,5908.873251,1716029.907,0,0,0,0,0,0,0,0,0,0,0
109,109,235,3,Brooklyn,023500,3023500,E,BK69,Clinton Hill,4004,4958.034954,1523725.767,0,0,0,0,0,0,0,0,0,0,0
110,110,236,3,Brooklyn,023600,3023600,E,BK88,Borough Park,4014,6242.981077,1828207.777,0,0,0,0,0,0,0,0,0,0,0
111,111,238,3,Brooklyn,023800,3023800,E,BK88,Borough Park,4014,6244.556731,1828765.822,0,0,0,0,0,0,0,0,0,0,0
112,112,240,3,Brooklyn,024000,3024000,E,BK88,Borough Park,4014,6240.45935,1827206.393,0,0,0,0,0,0,0,0,0,0,0
113,113,242,3,Brooklyn,024200,3024200,E,BK88,Borough Park,4014,6964.549393,2061125.047,0,0,0,0,0,0,0,0,0,0,0
114,114,245,3,Brooklyn,024500,3024500,E,BK75,Bedford,4003,5582.222563,1795931.618,0,0,0,0,0,0,0,0,0,0,0
115,115,246,3,Brooklyn,024600,3024600,E,BK88,Borough Park,4014,6796.313336,1845582.935,0,0,0,0,0,0,0,0,0,0,0
116,116,247,3,Brooklyn,024700,3024700,E,BK61,Crown Heights North,4006,7488.70173,2028330.425,0,0,0,0,0,0,0,0,0,0,0
117,117,248,3,Brooklyn,024800,3024800,E,BK28,Bensonhurst West,4017,6417.483306,1895137.519,0,0,0,0,0,0,0,0,0,0,0
