,lat,lon,tract
403,40.8267005872,-73.9074744069,"(u'2', u'018500')"
404,40.8317436444,-73.9302480291,"(u'2', u'018900')"
405,40.8363706262,-73.9293309341,"(u'2', u'019300')"
406,40.8335060696,-73.8359121516,"(u'2', u'019400')"
407,40.8304779696,-73.922527512,"(u'2', u'019500')"
408,40.8352056747,-73.9199835789,"(u'2', u'019700')"
409,40.8367431361,-73.9254507418,"(u'2', u'019900')"
410,40.8428298613,-73.8455144101,"(u'2', u'020000')"
411,40.8420910549,-73.926957543,"(u'2', u'020100')"
412,40.8384911122,-73.8475792533,"(u'2', u'020200')"
413,40.840864117,-73.8508603201,"(u'2', u'020400')"
414,40.8474701381,-73.9236918249,"(u'2', u'020501')"
415,40.8513897048,-73.9194502272,"(u'2', u'020502')"
416,40.836640756,-73.8505378024,"(u'2', u'020601')"
417,40.8430697981,-73.9150300018,"(u'2', u'020900')"
418,40.8408016446,-73.8582890039,"(u'2', u'021001')"
419,40.8384920859,-73.8565103994,"(u'2', u'021002')"
420,40.840465631,-73.9235036861,"(u'2', u'021100')"
421,40.8361270231,-73.8589213162,"(u'2', u'021200')"
422,40.845585794,-73.9197554549,"(u'2', u'021301')"
423,40.8430772852,-73.9204058523,"(u'2', u'021302')"
424,40.849454833,-73.9182511637,"(u'2', u'021501')"
425,40.8480379316,-73.9167161854,"(u'2', u'021502')"
426,40.8375404503,-73.8648212528,"(u'2', u'021601')"
427,40.8371766076,-73.8622717635,"(u'2', u'021602')"
428,40.8482617883,-73.9132192421,"(u'2', u'021700')"
429,40.8374106204,-73.8697443781,"(u'2', u'021800')"
430,40.8396686578,-73.9196012726,"(u'2', u'021900')"
431,40.8431438574,-73.8725980737,"(u'2', u'022000')"
432,40.838279039,-73.9181199649,"(u'2', u'022101')"
433,40.8376558405,-73.9160972055,"(u'2', u'022102')"
434,40.8356778272,-73.8552132278,"(u'2', u'022200')"
435,40.8405210252,-73.9150837273,"(u'2', u'022300')"
436,40.8550319872,-73.8685022241,"(u'2', u'022401')"
437,40.8564775849,-73.8654215052,"(u'2', u'022403')"
438,40.852742927,-73.86630031,"(u'2', u'022404')"
439,40.840084298,-73.9109746702,"(u'2', u'022500')"
440,40.8468252073,-73.9110459468,"(u'2', u'022701')"
441,40.8445175006,-73.9133160268,"(u'2', u'022702')"
442,40.8439946312,-73.9104839015,"(u'2', u'022703')"
443,40.8534922115,-73.8635339952,"(u'2', u'022800')"
444,40.846134718,-73.907186445,"(u'2', u'022901')"
445,40.8437982208,-73.907191604,"(u'2', u'022902')"
446,40.8492888891,-73.8660183199,"(u'2', u'023000')"
447,40.8461809001,-73.9024764429,"(u'2', u'023100')"
448,40.8469745878,-73.8633160375,"(u'2', u'023200')"
449,40.849558006,-73.9087486424,"(u'2', u'023301')"
450,40.8481883292,-73.9047405191,"(u'2', u'023302')"
451,40.8521640797,-73.9045571399,"(u'2', u'023501')"
452,40.8512811766,-73.9034766287,"(u'2', u'023502')"
453,40.8450910497,-73.8672564945,"(u'2', u'023600')"
454,40.8606317645,-73.8973295804,"(u'2', u'023702')"
455,40.8600258688,-73.8995922353,"(u'2', u'023703')"
456,40.856264458,-73.9019051152,"(u'2', u'023704')"
457,40.8437087547,-73.8610916864,"(u'2', u'023800')"
458,40.8589011876,-73.9028778341,"(u'2', u'023900')"
459,40.8416271425,-73.8688777373,"(u'2', u'024000')"
460,40.8531482251,-73.9061857346,"(u'2', u'024100')"
461,40.8524246518,-73.9115381991,"(u'2', u'024300')"
462,40.8462201297,-73.8575085244,"(u'2', u'024400')"
463,40.8528795795,-73.9154882152,"(u'2', u'024501')"
464,40.855107146,-73.9135615849,"(u'2', u'024502')"
465,40.8516056995,-73.8611563467,"(u'2', u'024600')"
466,40.855480075,-73.9184357925,"(u'2', u'024700')"
467,40.8553382487,-73.8584110655,"(u'2', u'024800')"
